Column1,EST. RETURN,EST. RETURN %,BRAND,NAME,LISTING TITLE,LISTING TYPE,PRICE,CUR AVG USED PRICE,CUR MIN USED PRICE,CUR MAX USED PRICE,LISTING LINK,L_COL,M_COL
TRUE,-200.19,-0.63552381,MSI,MAGZ790TOMAHAWKWIFIDDR4,MSI MAG Z790 TOMAHAWK WiFi DDR4+ MORE ( SEE DESCRIPTION),"FIXED_PRICE,BEST_OFFER",315,123.08,114.81,139.99,Linkybinky,https://www.ebay.com/itm/405295055515,0
FALSE,81,0.710526316,ASUS,proartb760-creatorwifi,Asus ProArt PROART B760-CREATOR WIFI Desktop Motherboard,"FIXED_PRICE,BEST_OFFER",114,195,195,195,Linkybinky,https://www.ebay.com/itm/405284704617,0
FALSE,9.11,0.018220364,Unbranded,ROG MAXIMUS Z790 APEX,As-is Damaged ASUS ROG MAXIMUS Z790 APEX Motherboard,"FIXED_PRICE,BEST_OFFER",499.99,650.15,509.1,1122,Linkybinky,https://www.ebay.com/itm/276486687851,0
FALSE,0,0,ASUS,0,*FOR PARTS* ASUS ROG STRIX B760-A Gaming Wifi D4 Intel LGA 1700 DDR4 Motherboard,FIXED_PRICE,56.26,0,0,0,Linkybinky,https://www.ebay.com/itm/335580055692,0
FALSE,230,4.600920184,AORUS,Z690 Aorus Elite stealth,Z690 Aorus elite Stealth LGA 1700 DDR5 Motherboard - No Post - READ DESCRIPTION!,FIXED_PRICE,49.99,279.99,279.99,279.99,Linkybinky,https://www.ebay.com/itm/186681742010,0
FALSE,8.4,0.06,ASUS,ASUS ROG Strix Z790-E,"ASUS ROG Strix Z790-E WiFi 6E LGA 1700 Intel 14th,13th&12th Gen ATX Motherboard","FIXED_PRICE,BEST_OFFER",140,213.69,148.4,299.99,Linkybinky,https://www.ebay.com/itm/146120356941,0
FALSE,14.5,0,ASUS,ASUS Prime Z790-A WiFi,"ASUS Prime Z790-A WiFi, 6E LGA 1700 ATX Intel Motherboard (Please Read)",AUCTION,0,225.66,14.5,619,Linkybinky,https://www.ebay.com/itm/395818316308,0
FALSE,112.55,0.916904277,Maximus,ROG MAXIMUS Z690 HERO,ROG MAXIMUS Z690 HERO Motherboard,"FIXED_PRICE,BEST_OFFER",122.75,400.34,235.3,600,Linkybinky,https://www.ebay.com/itm/335627860232,0
FALSE,95.99,23.9975,MSI,Z790TOMWI,MSI MAG Z790 TOMAHAWK WiFi LGA 1700 ATX Intel Motherboard,AUCTION,4,162.34,99.99,450,Linkybinky,https://www.ebay.com/itm/276697652203,0
FALSE,0,0,GIGABYTE,0,GIGABYTE AMD X670E AORUS PRO X AM5 192 GB DDR5 Non-ECC ATX Motherboard,AUCTION,4,0,0,0,Linkybinky,https://www.ebay.com/itm/276697645154,0
FALSE,100.01,1.66738913,GIGABYTE,Z690AORUSPRO,[Broken - For Parts] GIGABYTE Z690 AORUS PRO LGA 1700 ATX Intel Motherboard,"FIXED_PRICE,BEST_OFFER",59.98,159.99,159.99,159.99,Linkybinky,https://www.ebay.com/itm/267035946644,0
FALSE,47.01,0.81065701,GIGABYTE,Z790 AERO G,Gigabyte Z790 AERO G Intel LGA 1700 ATX Motherboard With Box (#1),FIXED_PRICE,57.99,237.13,105,645.31,Linkybinky,https://www.ebay.com/itm/266836199911,0
FALSE,499.96,1.315718835,MSI,MEG Z790 GODLIKE MAX,Film Still On Bent Pins/no Back Plt  MSI MEG Z790 GODLIKE MAX Gaming Motherboard,FIXED_PRICE,379.99,1632.72,879.95,2027.72,Linkybinky,https://www.ebay.com/itm/146114120951,0
FALSE,9.82,0.093532717,MSI,B760TAMAWIFI,MSI MAG B760 TOMAHAWK WIFI LGA 1700 (Intel12th&13th Gen) SATA 6Gb/s ATX *READ*,"FIXED_PRICE,BEST_OFFER",104.99,124.94,114.81,140,Linkybinky,https://www.ebay.com/itm/116086274231,0
FALSE,49.1,0.818333333,GIGABYTE,Z790 AORUS ELITE AX,"GIGABYTE Z790 EAGLE AX ATX Motherboard [LGA 1700]  [DDR5] *As-Is, Bent Pins*","FIXED_PRICE,BEST_OFFER",60,168.03,109.1,436,Linkybinky,https://www.ebay.com/itm/267037988143,0
FALSE,95,23.75,GIGABYTE,Z690AORUSULTRA,Gigabyte Z690 AORUS Ultra Motherboard,AUCTION,4,149.5,99,199.99,Linkybinky,https://www.ebay.com/itm/276687418660,0
FALSE,115.74,0.346267764,ASUS,90MB1BC0-M0AAY0,ASUS ROG Crosshair X670E Hero WiFi 6E AM5 (LGA 1718) Motherboard -NOT WORKING-,"FIXED_PRICE,BEST_OFFER",334.25,466.64,449.99,499.95,Linkybinky,https://www.ebay.com/itm/226412063462,0
FALSE,49.1,0.818333333,GIGABYTE,Z790 Aorus Elite AX,GIGABYTE Z790 AORUS Elite AX Intel  LGA 1700 ATX Motherboard AS-IS w/ BENT PINS,FIXED_PRICE,60,168.03,109.1,436,Linkybinky,https://www.ebay.com/itm/196741551445,0
FALSE,212.1,0,ASUS,Z790-CREATOR,ASUS ProArt Z790-Creator WiFi 6E LGA 1700 ATX DDR5 M.2 Motherboard - READ,AUCTION,0,392.66,212.1,760,Linkybinky,https://www.ebay.com/itm/196735808884,0
FALSE,0,0,GIGABYTE,0,GIGABYTE Z790 UD AC LGA 1700 ATX DDR5 M.2 Wi-Fi Motherboard - READ,AUCTION,0,0,0,0,Linkybinky,https://www.ebay.com/itm/196735808987,0
FALSE,0,0,MSI,0,MSI MAG B760M MORTAR WIFI II LGA 1700 DDR5 M.2 Wi-Fi 6E mATX Motherboard - READ,AUCTION,0,0,0,0,Linkybinky,https://www.ebay.com/itm/196735808266,0
FALSE,0,0,ASUS,0,ASUS TUF GAMING B760M-PLUS WIFI D4 LGA 1700 mATX M.2 DDR4 Motherboard - READ,AUCTION,0,0,0,0,Linkybinky,https://www.ebay.com/itm/196735808845,0
FALSE,31.92,0.644978784,MSI,PROZ690ADDR4,MSI - PRO Z690-A DDR4 Socket LGA 1700 USB 3.2 Intel Motherboard - (Parts Only),"FIXED_PRICE,BEST_OFFER",49.49,102.48,81.41,173.69,Linkybinky,https://www.ebay.com/itm/395817507570,0
FALSE,0,0,GIGABYTE,0,GIGABYTE B760 Gaming X AX LGA 1700 ATX DDR5 M.2 AMD WiFi 6E Motherboard - READ,AUCTION,0,0,0,0,Linkybinky,https://www.ebay.com/itm/196735808944,0
FALSE,81.41,0,MSI,PROZ690ADDR4,MSI PRO Z690-A DDR4 ProSeries Intel LGA 1700 DDR4 ATX Motherboard - READ,AUCTION,0,102.48,81.41,173.69,Linkybinky,https://www.ebay.com/itm/196735808256,0
FALSE,0,0,GIGABYTE,0,GIGABYTE Z790 EAGLE AX LGA 1700 Intel Z790 ATX DDR5 M.2 Motherboard - READ,AUCTION,0,0,0,0,Linkybinky,https://www.ebay.com/itm/196735808955,0
FALSE,0,0,ASUS,0,"ASUS TUF Gaming Z790 Plus Gaming Motherboard *For Parts* | WiFi 6, LGA 1700 DDR5",AUCTION,0,0,0,0,Linkybinky,https://www.ebay.com/itm/356172704200,0
FALSE,139.45,0,MSI,MSI PRO Z790-A MAX WiFi,MSI PRO Z790-A MAX WiFi ProSeries LGA 1700 DDR5 M.2 ATX Motherboard - READ,AUCTION,0,227.71,139.45,461.5,Linkybinky,https://www.ebay.com/itm/196735808945,0
FALSE,35.01,0.778172927,ASUS,Z690-P,As-is Untested ASUS PRIME Z690-P ATX Motherboard Intel LGA1700 DDR4 A2,"FIXED_PRICE,BEST_OFFER",44.99,136.01,80,279,Linkybinky,https://www.ebay.com/itm/276460074128,0
FALSE,11.71,0.1951992,GIGABYTE,B760M DS3H AX,"As-is Defective GIGABYTE B760M DS3H AX, LGA 1700 Socket Intel Motherboard A1","FIXED_PRICE,BEST_OFFER",59.99,91.98,71.7,104.59,Linkybinky,https://www.ebay.com/itm/276329077652,0
FALSE,77.99,0,MSI,PRO Z690-A WIFI DDR4,MSI PRO Z690-A WiFi DDR4 ProSeries ATX LGA 1700 DDR4 M.2 Motherboard - READ,AUCTION,0,90.2,77.99,97.14,Linkybinky,https://www.ebay.com/itm/196735808985,0
FALSE,0,0,GIGABYTE,0,GIGABYTE Z790 D DDR4 LGA 1700 ATX M.2 Motherboard - READ,AUCTION,0,0,0,0,Linkybinky,https://www.ebay.com/itm/196735808959,0
FALSE,0,0,ASUS,0,ASUS ROG Strix Z790-E Gaming WiFi 6E LGA 1700 ATX DDR5 M.2 Motherboard - READ,AUCTION,0,0,0,0,Linkybinky,https://www.ebay.com/itm/196741011345,0
FALSE,200.01,2.062171358,MSI,Z690I UNIFY MEG,"MSI Z690I UNIFY MEG, LGA 1700, Intel Motherboard PARTS READ",FIXED_PRICE,96.99,541.82,297,685,Linkybinky,https://www.ebay.com/itm/205056295216,0
FALSE,16,0,GIGABYTE,NOT SPECIFIED,GIGABYTE Z790 AORUS Elite AX LGA 1700 ATX DDR5 M.2 WiFi 6E Motherboard - READ,AUCTION,0,354.64,16,2757,Linkybinky,https://www.ebay.com/itm/196735808982,0
FALSE,74.16,0.701940369,GIGABYTE,GIGABYTE Z790 AORUS MASTER,Gigabyte Z790 Aorus Master EATX DDR5 LGA1700 Motherboard For Parts Read,FIXED_PRICE,105.65,382.81,179.81,1166.07,Linkybinky,https://www.ebay.com/itm/395770338763,0
FALSE,32.4,0.5184,ASUS,ASUS TUF GAMING Z790-PLUS WIFI D4,ASUS TUF Gaming Z790-PLUS WIFI D4 Motherboard - for parts or repair,FIXED_PRICE,62.5,267.15,94.9,548.47,Linkybinky,https://www.ebay.com/itm/166963416487,0
FALSE,249.95,0,ASUS,ASUS ROG Maximus Z790 Hero,ASUS ROG Maximus Z790 Hero WiFi 6E Intel LGA1700 DDR5 ATX Motherboard - READ,AUCTION,0,392.71,249.95,1298,Linkybinky,https://www.ebay.com/itm/196735808860,0
FALSE,10.01,0.111246944,MSI,MAG Z790 TOMAHAWK WIFI,MSI MAG Z790 TOMAHAWK WIFI LGA 1700 Intel SATA 6Gb DDR5 ATX Motherboard (READ!),"FIXED_PRICE,BEST_OFFER",89.98,119,99.99,139.99,Linkybinky,https://www.ebay.com/itm/286103802145,0
FALSE,-49.99,-0.277737652,MSI,MPG Z790 CARBON WIFI,As-is Defective MSI MPG Z790 Carbon Wifi ATX LGA1700 DDR5 Motherboard,"FIXED_PRICE,BEST_OFFER",179.99,296.28,130,660,Linkybinky,https://www.ebay.com/itm/276329062613,0
FALSE,0,0,AORUS,0,AORUS Z790 XTREME Motherboard LGA1700,FIXED_PRICE,489.98,0,0,0,Linkybinky,https://www.ebay.com/itm/276676267895,0
FALSE,80.01,1.600520104,ASRock,ASROCK Z690 TAICHI,BAD ASROCK Z690 TAICHI Intel LGA 1700 Z690 Desktop Motherboard,FIXED_PRICE,49.99,539.69,130,899.99,Linkybinky,https://www.ebay.com/itm/276605331743,0
FALSE,5.01,0.052742394,ASUS,B760M-A AX,ASUS Prime B760M-A AX  WIFI Intel LGA 1700 B760 MicroATX Desktop Motherboard,"FIXED_PRICE,BEST_OFFER",94.99,104.97,100,109.95,Linkybinky,https://www.ebay.com/itm/176336750602,0
FALSE,19.96,0.33272212,ASUS,Asus Prime Z690-P WiFi,Asus Prime Z690-P WiFi LGA 1700 ATX Motherboard Parts Only,FIXED_PRICE,59.99,163.01,79.95,577.38,Linkybinky,https://www.ebay.com/itm/335621676432,0
FALSE,74.01,2.115175765,GIGABYTE,Gigabyte Z690 Aorus Elite AX,Gigabyte Z690 Aorus Elite AX DDR4 Black LGA 1700 ATX  Motherboard Parts Only,FIXED_PRICE,34.99,168.34,109,360,Linkybinky,https://www.ebay.com/itm/335609090960,0
FALSE,79.82,0.798279828,GIGABYTE,Z790 AORUS MASTER,BAD Gigabyte Z790 AORUS MASTER Intel LGA 1700 Z790 Desktop Motherboard B,FIXED_PRICE,99.99,376.31,179.81,1166.07,Linkybinky,https://www.ebay.com/itm/276448969511,0
FALSE,0,0,ASUS,0,ASUS Prime Z690-A LGA 1700 ATX DDR5 M.2 Motherboard - READ,AUCTION,0,0,0,0,Linkybinky,https://www.ebay.com/itm/196735808837,0
FALSE,158,0,MSI,X670ETMAHAWIFI,MSI MAG X670E Tomahawk WiFi AMD AM5 DDR5 M.2 Wi-Fi 6E ATX Motherboard - READ,AUCTION,0,178.29,158,199.99,Linkybinky,https://www.ebay.com/itm/196735808924,0
FALSE,50.04,0.125115639,ASUS,90MB1BC0-M0AAY0,ASUS ROG Crosshair MAXIMUS Z790 DARK HERO (FOR PARTS) Gaming Motherboard,"FIXED_PRICE,BEST_OFFER",399.95,466.64,449.99,499.95,Linkybinky,https://www.ebay.com/itm/196574308045,0
FALSE,-4,-0.040004,GIGABYTE,B660M Aorus Pro AX DDR4,As-is Untested GIGABYTE B660M Aorus Pro AX DDR4  Micro ATX Motherboard,"FIXED_PRICE,BEST_OFFER",99.99,186.61,95.99,330,Linkybinky,https://www.ebay.com/itm/276459063602,0
